"","Day","ActiveInfectionRate","DailyDeathRate"
"1",2020-11-23,257.44045518365,0.118281857300272
"2",2020-10-01,464.877995117509,0.239848224254134
"3",2020-11-01,882.628923326487,0.326651191313174
